"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
1,1,1,1,1,1,1,0.290259314513988,0.543789589079748,0.675560648680125,0.0118074856394414,0.0168346854447171,0.0102607995963129,0.0123692025468246,0.00878696984634427,0.00910428910829826,0.00873968099545692
1,0.688179089316178,0.570186735803041,1,1,0.420783798515639,0.594224937219802,0.948913729907731,0.60079520229199,0.0175690892157552,0.166493161298118,1,0.0103470682194433,0.00918881288896049,0.010741123519368,0.00878245161397897,0.00900370299313798
1,1,1,1,1,0.0893735051142451,0.324296701911923,1,0.353865814213129,0.999291509405096,0.0112498291421638,0.0118670422451979,0.00899376589008583,0.0083169921509462,0.00927438803873651,0.00839393759453001,0.00901265348265301
1,0.452512072198981,1,0.102503580186661,0.626181567015215,0.736693994419225,1,0.876782085801775,1,0.00994003790883146,0.73581408756073,0.341278263737999,0.00924459988088005,0.0100470527625495,0.0139999279975954,0.00871459183387863,0.00835538200746114
1,1,1,0.373956419954122,1,1,0.908756187932741,1,0.0651707196048174,0.586241918543266,0.0260525942428964,0.552230517115668,0.016970302626705,0.0089227954118329,0.00849000328215126,0.0086289255287028,0.00864676288266359
1,1,1,0.869947295317146,1,1,0.728551249626573,1,0.716116459182597,1,0.0105797297397868,0.00899921977795631,0.853357622315077,0.00927605721693992,0.00883290158851783,0.00884274869112025,0.00878234076965323
0.831624982014605,1,0.386299403961265,0.568161236009462,1,1,1,1,0.32854813536717,0.0132257709861685,0.0756920613729539,0.138163007532859,0.0100461767098174,0.00924233356399472,0.0100850312280086,0.00909491672720305,0.00879138943395069
1,0.41197401991771,1,1,0.0950971554935374,0.67651200903223,0.457972269376454,0.650352714423494,0.148877243996074,1,1,0.131821339471187,0.00981058126249704,0.01120385997621,0.00859706668066613,0.00893158967500744,0.00877419577996469
1,1,1,1,1,1,1,1,0.964691009804411,0.0877088920104445,0.34106579615954,1,0.00892031157917944,0.00998870168948373,0.00918834090055871,0.00899491244060186,0.00911334835430508
0.788757657254375,1,0.776309952616456,1,0.91710195227442,1,0.187698484347932,1,1,0.920113538194022,1,0.0352187498752978,0.00848593686783321,0.0122324179854054,0.00877327344145816,0.00864440477257667,0.00879131455512328
1,1,0.0931788347286079,0.376337142044532,0.660643110717211,1,0.497725837188782,1,1,0.617204981511224,0.288078137586529,0.0142976710770732,0.00947012471413733,0.00934968392847428,0.00818724541760475,0.0088784914393139,0.00908597201169763
0.486759362833111,1,0.439929176438073,1,0.436944381668489,1,1,1,1,0.532750273552797,0.0150651786641042,0.0142351563553764,0.00915918836104548,0.0090864897932916,0.00899546954770731,0.0152497946910521,0.00876527692088116
1,1,1,1,1,1,0.851146859026342,1,0.0700177258562391,1,0.193329028719982,0.496307513859171,0.00857964576850524,0.00896704509094512,0.00852945814419318,0.00886873505780348,0.00900374916235022
1,0.165733288065479,1,0.83025248454412,1,1,1,0.136898879561154,1,0.263937798215545,0.569181243759024,0.0103859042750442,0.0124519863822246,0.0103432677488524,0.0107223140876899,0.00895786194441186,0.00889449931823061
1,0.695676226611355,0.563234358842677,0.457220466252069,1,1,0.52774739968927,0.537897081130006,0.611581051818489,1,0.0733628794273522,0.0104355208153946,0.00919799236310322,0.00893407528963703,0.00885188159766268,0.00848240606326034,0.00830939039852472
1,1,0.251964296223893,0.549673680454197,0.979196581936586,0.861045446020444,1,0.271579971670898,1,1,0.160646651445603,0.00950113869452071,0.00920712783628064,0.00894942291288495,0.00847302409643567,0.00837889903943543,0.00908417243100695
0.423217826169361,1,1,1,0.159762706648787,1,0.769724005710748,0.612118772552507,0.0473483242750069,0.360997189341799,0.524814548741588,0.838770832864535,0.00899206695989023,0.0086642882791502,0.00875744247091599,0.00847365778148051,0.00883439909553002
0.48155970451074,1,0.728891027832595,1,0.328971583580337,0.590786527766279,0.858141253507521,1,0.788823369540533,0.763244978093362,0.0125431022888832,0.0118181796426153,0.00827046961606684,0.0092163199376838,0.00848953770544339,0.00886940396311362,0.00850665845851686
0.579401767356315,0.062178612712813,0.828575093724773,1,0.875539047846741,1,1,1,1,0.0429354690365191,0.018281704872268,0.00902646456592178,0.00809599791788537,0.00828603193428015,0.00909477236493614,0.00913917052993122,0.00880911736155373
0.50204275525912,1,1,0.518092204924335,1,0.508888014256014,1,0.9347955910045,0.134061971182349,1,0.659983582226578,0.214304370407854,0.0101922272011581,0.00869777997782733,0.00921725575210901,0.00826155899201231,0.00913961125633262
1,0.116838895346671,0.631661322547372,0.812743866386309,0.87372372299239,1,0.547956887050248,0.415628165620661,1,0.920092962244872,0.00965064630446917,0.0108969698290329,0.00824738063508771,0.00884272850104897,0.00873985207842871,0.00929487761058136,0.00817986591449534
1,1,0.711397369120168,0.922946912281816,1,0.22108688161895,1,0.276243480480475,1,1,0.290646034980588,0.00991522248511147,0.00836407246448611,0.00845838472279224,0.00883420682471052,0.00913207385815364,0.00913155217020429
1,1,0.236059973826187,1,0.962639876082396,1,0.996544419247296,0.248575700928175,0.46195305365215,1,0.0216788809284163,0.0845098877466226,0.0181866938476732,0.00851480479973901,0.00946028533279116,0.00852174637714209,0.00854802492419562
1,1,0.256955715357881,1,1,1,0.349045051113696,0.913976044514578,0.925122482640094,0.0140430755548063,0.357995341164374,0.0170022823619628,0.00857101470714342,0.0087660512575042,0.00848492165195906,0.00957352157652366,0.00890542259481133
1,1,0.0789240522965025,1,1,1,0.514937964172141,1,0.210971793203824,0.961074752046747,0.00886259136965357,0.00950153366876897,0.0372340528073436,0.00914792017108888,0.00904190795866669,0.00870583971085098,0.00841088284794092
0.387614153154225,1,1,1,0.743014390879079,0.325708371554598,1,1,0.93169805117751,0.97667398827951,0.160304448904537,0.00880407376576254,0.00920745298302148,0.00901226134641438,0.00864753933083783,0.00858858113260439,0.00879967116574776
1,1,0.638257713483213,1,0.223722482402774,1,0.566929560139417,1,0.0749552901898856,0.0591889445353757,1,1,0.00910377832737615,0.00857983313239343,0.00892253120686424,0.00924459065489614,0.00859700786067255
1,1,0.0666075435630781,0.6241422614682,0.562987186490822,0.88680495699236,0.503827231506274,0.975119745900703,1,0.194301790720971,0.0633821036112948,0.276673006508325,0.00874088623557232,0.00931006606756892,0.0086717319877969,0.00911222524003712,0.00871369826530334
1,0.53741727368587,1,1,0.80054574419911,1,0.697007261676121,1,0.968660099792875,0.0107111934064809,0.790491582063948,0.0114625633180568,0.0199285642455227,0.00861554537845913,0.00972931209632232,0.00967408816669422,0.00869667897119542
