"","n=10","n=15","n=20","n=25","n=30","n=50","n=75","n=100","n=500"
"42",0.700597574252862,0.374686044098568,0.237768456990869,1,0.723570463080288,0.808973897474752,1,0.0732142021687828,0.0193129750030775
"43",0.175760685271867,0.17756598571123,0.213639776107788,0.447714194101663,1,0.049630196708497,0.0362309922453274,0.462911932538596,1
"44",1,0.235257800090216,1,1,0.158114137911725,0.0844811721426262,0.173063414314074,0.277004477258332,1
"45",1,0.279110275817013,0.293230438438101,0.298203279056725,1,0.209758709426125,0.418629009891701,0.0711542282856277,0.0398580661338724
"46",1,1,0.118684293134248,0.132918631196874,0.794651100564486,1,0.661908729744951,1,0.0124166320536494
"47",0.992530700116755,1,0.644531047252402,0.0322926774407508,1,1,0.104472294300603,0.177214882234996,0.021495421048497
"48",0.159852797128631,0.114385047601864,1,0.099338709054666,0.0353745138653873,0.0550097979074298,1,0.0541367175408202,0.369620978117828
"49",1,1,0.128604067496732,0.794175283615366,1,1,0.933933683758532,0.242660770649756,0.090765133948774
"50",1,0.0416308034184546,1,1,0.0115069625101428,1,1,0.71371534672916,0.0108762088938277
"51",0.852884358467439,1,0.64722556631678,1,0.342486553958988,0.0142836321656159,1,0.602973973278779,0.16775645914041
"52",1,1,0.991353291679083,0.930313406592782,0.0177810296519671,1,0.166586117456341,1,0.0149819935474326
"53",1,1,0.400707075829878,1,0.133830329806316,1,1,0.927011618104031,1
"54",1,0.904853181517776,1,1,0.160078331916804,1,0.42263936242804,1,1
"55",1,0.368727524855809,1,0.897525899392744,1,1,1,1,1
"56",1,1,0.0150821578409914,0.765243680640846,0.290030835726906,1,0.157052529514856,0.0239663007268408,1
"57",1,0.346771840973094,0.0831536989584759,0.19061697529012,1,0.38761499041929,0.0917752905035916,0.116031517148506,0.0327932405786732
"58",0.783742642371022,1,1,1,1,0.320793145360161,1,0.0138871580830811,0.0223702009540082
"59",0.20617143935012,1,1,0.848949729750408,0.0424421150129606,1,1,1,1
"60",1,0.335919375659714,0.882090821189957,0.0285858869568432,1,0.0146695545513504,0.0727006983189797,0.895629312668455,0.178241864860424
"61",1,0.127500786226693,0.0442137587377907,0.979812021165808,0.175643663366021,0.691436450964187,0.391770851414144,0.980514635469173,1
"62",1,0.161060114882799,0.793369645550759,1,1,0.102313107504828,0.0107249606461424,0.75658104902166,1
"63",0.884022457878434,0.407426392660785,0.139470749776949,0.987263697954788,0.0516591628463005,0.041976741802781,0.0803623737321953,1,0.819834332862812
"64",1,0.284496543663323,0.629989372082947,0.0412718270901253,0.0962426497510881,0.13917211765976,0.563086302810438,0.0165064675573083,1
"65",1,0.036620402577511,1,1,0.680129977980172,0.0270921922137344,0.332225148512059,1,1
"66",0.0514806782918451,1,0.0957836532287335,0.132152013518674,1,0.309320212690022,0.198062923669028,1,0.038911889887588
"67",0.144960857346939,1,0.919022646785784,0.0130484620336743,1,0.0667260765429663,1,0.581298369926177,0.0170133605457209
"68",0.20432065003868,1,0.138221827408598,1,0.553394657688783,1,0.218823744516686,1,0.425572134883354
"69",0.0444289753043564,0.0788044115641213,1,0.0573836184810343,0.441949622394444,0.448925574468027,0.00942413402939483,0.0550241475376107,0.438257141208917
"70",1,0.0458884412728882,0.178374061130115,0.398832929525049,0.911385509959586,0.790512589120781,0.0321289933858541,0.0623855529857458,0.139084791341553
"71",1,1,1,0.120773801115355,0.0793013960838722,0.995232562971622,1,0.0577673964169489,1
"72",0.174919846391516,0.410940815903173,0.134109619359667,1,0.640051272025382,0.0159337054241899,0.00886462161231454,0.0247136821376444,0.0101783798491224
"73",1,1,0.184370831282173,1,1,1,0.857286289142695,0.0312880827928681,0.470767261487666
"74",1,0.0501428269581561,1,0.893155811017814,0.985211475986477,0.227159998701099,0.786847822888205,1,0.037695580957867
"75",1,1,0.0724826678993507,0.256151987619125,1,0.0536957779417262,1,0.0860949686957209,0.0114094930010213
