"","p 1","p 2","p 3","p 4"
"96",1.41996805229798e-28,8.49048338743359e-27,1.04050108057201e-26,8.01388834872189e-25
"97",1.97411705912008e-25,1.97954145682331e-25,2.97653094336807e-25,6.87117026841009e-31
"98",1.92869565618704e-29,1.07874394324503e-27,1.23127884348558e-23,8.45993923157275e-25
"99",1.00417301183223e-24,2.52828341801702e-27,9.91035930371335e-27,1.1433180225282e-25
"100",3.50038144687645e-26,7.54203589980012e-28,4.88309179318382e-32,6.90217618247564e-26
"101",9.52538606428544e-29,3.76098777393792e-31,7.95702309361664e-27,1.03483157396034e-21
"102",2.18274183654297e-26,4.15020036014133e-24,5.60395569990527e-26,1.05408540338732e-26
"103",9.22102138550113e-25,8.44454623233344e-24,3.14503670947182e-30,1.67145106913918e-30
"104",1.77155891045649e-27,2.5861674287887e-22,2.24944358370917e-24,3.2031754184511e-30
"105",1.62003954148216e-29,1.24301236705043e-25,1.33860244016874e-22,1.91701448768968e-28
"106",5.59185306884604e-22,3.39241272186774e-26,2.81870319109939e-21,6.46743262653422e-24
"107",2.24927230195925e-26,8.31989175365465e-26,9.10738446593128e-27,1.29092908774076e-27
"108",2.9098879768249e-26,5.70380680882283e-32,1.9850976855714e-25,1.6352439160326e-32
"109",5.88784120906696e-32,1.21059534732017e-27,9.43759862923781e-27,1.68149960096741e-29
"110",1.0453578994807e-22,1.52654619119306e-24,8.9553678971196e-29,3.16671260710094e-26
"111",2.92210847987555e-29,2.03989173666946e-27,2.11884513136661e-27,1.41607921285832e-29
"112",6.10777912683627e-27,4.5720748549966e-30,7.3876295332935e-27,9.12846928113856e-31
"113",1.71851227328854e-26,8.01428637169002e-31,1.57226242249503e-25,1.96843177603041e-28
"114",3.24744215058754e-23,1.96199859159732e-24,1.62457236329141e-28,8.8680601784755e-29
"115",1.32884944222384e-23,1.36766134249738e-28,9.5110667968089e-28,2.59680460548344e-31
"116",5.4641324137696e-25,1.31231901382909e-32,1.10896869821885e-28,1.58767234526484e-25
"117",1.97327953275806e-30,1.68342321590958e-28,1.67092463961286e-28,1.00563955172565e-24
"118",3.62730366490533e-30,7.04407362253526e-24,3.48748908527619e-27,2.94243830899133e-26
"119",2.60407736267328e-24,9.6784741220512e-32,8.10920229079077e-27,2.23395245086639e-29
"120",4.93847808275345e-31,1.58502980352117e-26,6.81718361954663e-25,3.11802164719411e-32
"121",4.99135386505034e-26,1.04942730079277e-25,2.31729489454749e-30,3.12573004911095e-24
"122",8.16815902734347e-28,4.17700433223697e-26,3.41377334362641e-31,6.54450086877052e-29
"123",1.39856701888096e-26,2.88465271320904e-29,1.29014050373436e-31,1.49694795459353e-28
"124",1.27652857435218e-24,2.06106182750876e-31,1.67001322299662e-20,1.29744040359279e-25
"125",8.5673625034924e-33,8.95608383422298e-28,2.27761798411269e-24,6.01550667064778e-21
"126",1.15211855353032e-28,7.46272623409007e-27,1.37483549031416e-26,1.08454401652522e-25
"127",1.44153944627114e-23,1.04467629853652e-24,4.87015216261803e-28,2.03992854980653e-28
"128",3.77419347752061e-27,1.61233986052916e-28,1.1885781343197e-24,8.78819192173853e-30
"129",5.56848841091126e-29,2.40793424542998e-27,4.53997617678313e-25,1.19567785420163e-31
"130",1.0448621473493e-32,2.09820268136516e-31,1.6071742252907e-27,1.06688409546934e-27
"131",7.33331270959772e-24,1.84828176104062e-30,1.89673485883054e-29,2.52749141917855e-22
"132",2.33544227050481e-25,3.12543750408688e-28,8.96133536141073e-27,1.35587595376331e-29
"133",8.6594113990825e-33,3.37348752067105e-28,1.58582497918959e-28,2.07750422612086e-29
"134",1.96647460404453e-24,1.01097341098602e-29,4.899849522877e-26,1.17886507861595e-30
"135",2.00191392076699e-23,1.86085872943764e-28,3.69390030697712e-27,2.22706782845785e-23
"136",7.56388700274939e-35,2.94948466625436e-26,1.65411154836939e-32,4.24490674953633e-29
"137",9.57011273219164e-25,4.61916926392963e-28,3.02742129211989e-26,4.52712876352621e-27
"138",6.83100876006895e-32,2.14026047275686e-23,1.04853389502805e-32,1.26007000989631e-30
"139",5.00606380624775e-28,6.31296553046981e-24,1.08844961646227e-28,6.08810903847061e-29
"140",1.2587559721104e-27,8.69793364189525e-34,7.59036503440656e-24,1.31176690856265e-23
"141",3.12632920036337e-27,9.5442606707075e-29,2.67137549891265e-26,1.01604642989282e-24
"142",4.03304787936653e-31,1.91112224840327e-27,1.79139138087524e-29,1.0815468751439e-35
"143",1.87030280243805e-26,4.42688663698762e-28,1.2839456051467e-26,3.08583588384736e-29
"144",2.26906843212802e-29,1.21138004531613e-24,1.85680111974378e-23,4.82024740308129e-29
"145",2.11032295123468e-24,3.95869119106235e-33,1.34900294018896e-29,1.91846702496474e-26
"146",1.10399987641664e-22,1.99857761552096e-23,3.61346683777119e-29,2.56387891228817e-32
"147",4.10267847487441e-30,7.47806342240955e-26,1.74743372420942e-26,1.17835143105441e-26
"148",7.53220871077683e-24,8.07026381444257e-29,8.99588806184352e-21,7.78565382682535e-22
"149",1.58493083285827e-25,2.24472018039733e-31,5.02269460920118e-32,5.7010737597054e-28
"150",9.36683353613264e-31,7.96526117871612e-29,6.0590078330347e-26,1.473463475241e-25
"151",3.45914765749735e-21,2.53617181366121e-28,1.07815195530437e-33,4.02780831360881e-23
"152",3.2193932757491e-25,2.2338913675236e-25,9.36803998037237e-22,2.20942652329516e-25
"153",1.23871090117377e-25,4.58397558642974e-28,4.96645249161649e-21,3.64179579000302e-29
"154",3.57164859448888e-24,1.47934491121412e-30,4.16554654831197e-28,2.16540851214832e-27
"155",2.29472003692974e-29,3.13321574519546e-34,3.37442768184553e-22,8.18653424104788e-26
"156",5.03365037577432e-35,4.83135742200169e-28,2.33932189559201e-27,3.32442903011503e-25
"157",4.39805362075091e-36,1.04559527980367e-26,1.48576657897201e-25,2.67677342192528e-23
"158",3.20143934417948e-27,1.69128068199052e-27,4.82735264993954e-31,3.28194485459491e-30
"159",6.80840881489375e-26,1.38732766307574e-31,2.12972874887529e-28,4.08375687319484e-26
"160",2.23541896891653e-26,4.30734377503083e-33,2.87168289371499e-28,4.84355676171258e-20
"161",6.9399163821225e-32,2.55088698493203e-26,4.15249682224422e-29,3.22774209493631e-29
"162",2.43372238204507e-27,1.0611839776778e-25,9.63558346141578e-27,6.35279593758115e-28
"163",4.02221008155191e-24,1.58671732593747e-26,1.05471597943849e-22,7.16339416247395e-23
"164",8.40040414565081e-31,8.13200332916985e-28,1.47968204240934e-25,1.00184538516321e-30
"165",9.76604851171699e-31,1.33008416424227e-24,1.53098353758047e-28,3.13432446460925e-27
"166",1.11565155181e-27,1.98874713890989e-24,3.55517784855623e-26,8.16833710137563e-27
"167",3.25817182437535e-25,9.12678867122555e-33,3.30681496090611e-28,2.36722679926911e-26
"168",6.47877898037626e-24,5.08100632431289e-22,2.35952279266015e-22,1.65587900447628e-27
"169",1.76623399134711e-27,1.13406528424468e-22,7.084066780754e-29,1.43199301877197e-30
"170",2.14948013247613e-28,1.0310019025047e-28,1.22517150865681e-26,1.5806993030746e-27
"171",1.92381503634109e-19,8.56504411289633e-28,2.76026377617537e-22,9.01598852753556e-24
"172",2.53080967592303e-30,2.26257955520201e-28,2.00389161447978e-28,2.1791752446006e-28
"173",4.00084865713213e-29,1.08440827149663e-25,5.48687713134817e-24,1.15943244790239e-25
"174",2.10812219903893e-31,1.50031474239225e-30,3.72063110344654e-30,2.86094602101037e-25
"175",1.26667338623206e-27,8.08918842677278e-26,4.15820154176684e-30,1.00288668133623e-28
"176",1.286944684613e-28,1.91516548595411e-28,2.59190337485778e-24,6.82837355018365e-26
"177",1.05420062136549e-28,2.76000435935077e-24,1.85041034157549e-27,3.64477505300511e-29
"178",6.45920194518827e-24,2.16266460172032e-21,3.84557594674127e-26,8.26081249849483e-25
"179",6.5168327996056e-29,3.62230171378381e-22,1.86788107504579e-26,1.22930887950796e-26
"180",3.26747278390713e-26,2.67188251332602e-29,3.55446760052904e-26,1.59589887124748e-29
"181",6.07376488468034e-31,6.86100626565925e-30,1.43030908205997e-28,8.52799439404105e-33
"182",3.93101900836837e-29,8.02076429968992e-24,5.59435657552643e-30,2.5000906265957e-25
"183",4.27199733165147e-25,1.51027620090911e-25,5.21756626901549e-27,2.78547812098149e-29
"184",1.43969180581249e-24,6.40783104882668e-25,6.80576312312315e-25,2.89714416797497e-23
"185",1.29419320558787e-26,4.322569086691e-28,1.26148194090501e-29,1.31216344704825e-26
"186",3.32832593486733e-29,2.69992016287395e-24,4.44315913019087e-26,6.64652183895784e-30
"187",3.70705424703985e-29,4.80613278259145e-29,7.37392329918141e-26,7.47817955669464e-32
"188",1.24927897543345e-28,1.68979530638667e-24,5.61821117967917e-29,7.92542327733748e-24
"189",2.93520521530158e-26,6.95553530484968e-24,6.50472690110992e-29,1.13555132378894e-27
"190",5.00187917008838e-25,2.45717842656791e-28,7.59503773773269e-30,2.37410901392918e-28
"191",2.93731890484328e-28,5.01243120721199e-31,3.41090001532176e-27,4.82977839419149e-27
"192",1.49197120039576e-26,1.18875071476937e-31,1.20851841168967e-24,1.47488711176429e-22
"193",5.02400786389526e-25,1.17079233139707e-25,3.60680367023775e-31,4.39957074074335e-31
"194",4.27809467763934e-29,7.39247349547585e-24,1.83512523248876e-30,3.45042745338851e-36
"195",4.01523812274066e-25,2.59369953708069e-23,1.07342861981131e-29,9.39032789885957e-31
"196",4.45073670997452e-24,9.10723585630108e-22,2.53765716328888e-27,1.18711822350381e-28
"197",3.91623522087605e-29,1.03441372487287e-25,2.60204096083539e-27,5.78726230670141e-24
"198",1.23356021037827e-26,2.20163910906194e-25,3.22001103099643e-28,9.8260876411223e-28
"199",1.70153798187706e-28,1.3868551402309e-26,3.88357186465075e-20,1.90456482307852e-20
"200",2.72502782559532e-29,3.08344293637577e-24,7.33568273488574e-30,2.01607013043717e-25
"201",3.8281929590877e-25,7.34975882069361e-25,3.61899092086046e-24,7.20416879443146e-26
"202",8.04854830404173e-32,9.32838889180604e-26,8.69883607612013e-26,4.86242621351916e-30
"203",2.25415771527419e-24,1.01838964164181e-23,3.68027413933585e-26,5.73856923429018e-25
"204",1.73938113428644e-29,5.15085736264355e-30,4.51425078590574e-27,1.05143422137141e-31
"205",7.224219455479e-25,4.15898042850153e-25,2.64000385168145e-31,6.99850074853356e-33
"206",3.80395930007345e-22,3.46174757101225e-25,8.53769240984048e-24,1.37209326783458e-24
"207",7.38151158479991e-26,8.11643098224831e-26,3.82026358193351e-30,1.54486313134007e-25
"208",2.06313097043404e-27,4.78817141273355e-26,3.55969726895526e-26,1.03490815474289e-28
"209",1.1417278728732e-29,1.99480823229543e-25,6.03399098272526e-24,2.86319648106304e-30
"210",2.11614916464018e-31,1.20013766582063e-30,2.94120125960959e-26,9.20519686424344e-25
"211",2.22977236695397e-27,3.68776656553104e-21,3.31257133622051e-26,1.09029588572759e-23
"212",9.65181568856594e-28,1.60640355459214e-24,2.26587456396495e-32,2.41809013723705e-29
"213",1.71699064794636e-20,5.07497711151517e-27,9.26771834515516e-24,4.73656776494276e-30
"214",7.76141941247594e-23,4.70730702436444e-29,1.1204471367051e-28,6.90292238353836e-23
"215",1.05379171531589e-25,2.89250439715209e-25,1.45280985320877e-25,1.05437840389506e-23
"216",2.17266333662286e-25,7.86317065201977e-31,3.76017498340951e-25,3.99540503572558e-25
"217",4.26978104094807e-32,2.37334873762168e-25,2.83990226506542e-23,1.40378851329453e-25
"218",1.47134728991503e-26,1.81135321900996e-26,4.69587970514716e-20,4.68633913231075e-33
"219",4.3405561168348e-30,2.60448461043528e-28,6.54574993091295e-31,7.35933162106362e-30
"220",6.59609865731263e-30,5.617661603398e-29,1.3709314916676e-32,5.16515155825702e-25
"221",6.81213700408767e-28,1.3905575158845e-24,3.94590541846725e-29,5.77775433027306e-23
"222",1.59444362439431e-23,1.03171766478351e-28,1.27330285939465e-22,1.89285737137277e-25
"223",1.57410041220195e-28,6.42275680423443e-29,8.63117663022048e-33,1.18607768959326e-23
"224",1.50621846178182e-26,1.58550586043762e-26,1.35207781406972e-31,1.15715623261493e-25
"225",2.30724161467381e-27,7.34722135081961e-26,4.21066298986129e-27,1.07521615937671e-23
"226",1.2748817055686e-26,1.44438309024314e-26,8.97506209842096e-24,1.26543104858895e-25
"227",5.40957372371416e-24,9.17630054276476e-26,1.02133826011777e-25,1.54257406973995e-30
"228",6.3682939878364e-31,5.63412988112018e-32,8.11505320992135e-27,2.92267390365155e-23
"229",2.61254341653378e-30,1.08274118877028e-27,4.83075929081306e-24,1.19489529002464e-24
"230",1.31293544247264e-33,2.98794231699839e-26,3.14943501619845e-24,1.39237693778533e-31
"231",6.27622678442023e-29,1.72225332187819e-24,8.36006029330173e-25,1.3811386458428e-29
"232",7.65867153436922e-26,3.66888700134109e-24,3.15223126074182e-28,1.63151373501584e-24
"233",2.32377941175768e-30,7.33331131239222e-25,5.42809126442825e-26,9.15811552931972e-27
"234",5.04477801770239e-30,3.72428272775948e-25,2.50860770291744e-24,6.2471376092302e-26
"235",3.2032504062688e-27,4.03443679643965e-27,2.04519432403316e-27,7.93650627173667e-28
"236",1.71351121162253e-21,2.94990192182771e-31,6.63650206284589e-25,4.13452888916407e-33
