"delta.0","delta.0.2","delta.0.4","delta.0.6","delta.0.8","delta.1","delta.1.2","delta.1.4","delta.1.6","delta.1.8","delta.2","delta.2.2","delta.2.4","delta.2.6","delta.2.8","delta.3","delta.3.2","delta.3.4","delta.3.6","delta.3.8","delta.4","delta.4.2","delta.4.4","delta.4.6","delta.4.8","delta.5","delta.5.2","delta.5.4","delta.5.6","delta.5.8","delta.6","delta.6.2","delta.6.4","delta.6.6","delta.6.8","delta.7","delta.7.2","delta.7.4","delta.7.6","delta.7.8","delta.8"
0.879131496618718,1,0.471436918674152,1,0.673276441150947,0.977192117327913,0.355747502983754,1,1,1,0.737299739307826,1,0.683366328595108,0.0873355234891437,1,0.643696933630895,0.693476880063708,0.124745587453772,1,0.0326639185060608,1,1,0.47167426262045,0.0104861185255011,0.300618865638023,0.0524430257129449,0.263603254144602,0.0266434848947178,0.00866432699522468,0.00903043276488844,0.00880842064377886,0.00854042984162214,0.00896821258739138,0.00983446146881872,0.00852188382422403,0.0118756850218157,0.00837942681907303,0.0084283479024872,0.00920709937601,0.0089938235504273,0.00864632373243969
1,1,0.981224642285131,0.867668304522994,0.984429825872389,1,1,1,1,1,1,1,1,0.110403102096186,1,1,1,0.758842915177485,1,0.152097111277325,0.0585848384981812,1,0.541279965778417,0.150856064390439,0.12573168010685,0.0243158809014719,0.314347731963789,1,0.00892177792595076,1,0.0145886043037175,0.0168023634208892,0.00858074172465456,1,0.00857249822330168,0.00929067396030079,0.00871468149886062,0.00861335349986589,0.0089763226113606,0.00858106885914964,0.00899218263583036
1,1,0.842548007022943,1,1,1,0.15782315168115,1,0.659971213475236,0.239438532159325,0.17387782523337,0.438089505790337,1,1,1,1,1,1,0.712210354538084,1,0.156426370470279,0.704282980673314,0.241276191860959,0.0537759177665878,0.0637452809319226,0.410125212581266,0.0166474546350655,0.00977415835993782,0.0860021053409494,0.363356315095979,0.00835222948439616,0.00954608592717888,0.0121826479943086,0.00847367561537371,0.00863065871495652,0.00859608107034836,0.00882568648487077,0.00979435426659315,0.00919638035812909,0.010327670017172,0.00838582506352967
0.953139805380943,0.735035041672519,1,0.849978728552866,1,0.818256622230834,1,0.974624170176222,1,1,1,0.557599321295018,1,0.818328969365729,0.4044505731295,1,0.241783299294095,1,1,0.530191863685435,0.0761690486326098,0.0934028193162498,0.494332193716338,0.0814259313969941,0.804614037795622,1,0.0140459711538875,0.0147614412830372,0.0162348366084938,0.0102125153078113,0.00958251763186948,0.00895010084228018,0.00905001192785792,0.0363148768922612,0.00842483881640092,0.00871339577310411,0.00867220136325427,0.0086461686229197,0.00870585498949584,0.00869648747852198,0.00875546310123215
1,1,1,1,1,1,1,1,0.771000743221549,0.93838519815156,1,1,1,0.247776051169459,0.953081322878518,1,0.95681225757565,1,0.92654910554693,1,1,0.0773575487977688,0.164118380102621,0.338164541488243,0.0847874093451301,1,0.020321142519603,0.0429368002928766,0.00971784245889468,0.00918793080880162,0.0144539104298546,0.00892279553334707,0.00902189074363946,0.00913968773505667,0.00924538233852063,0.00924511664311735,0.0104725211447522,0.00855495278012081,0.00905819341718318,0.00906594198628163,0.00879138078484037
1,1,0.469295069613879,0.584851875857064,0.975030700167894,0.958672643745547,1,1,1,1,0.197583653253262,1,1,0.0226810467403164,0.463127802959602,1,0.133663360599508,1,0.273569568082205,0.411643024381064,1,1,0.0519883189860713,1,1,0.935168027092653,0.00928990810542933,1,0.00910564095289353,1,0.0115920799523123,0.0104251331407602,0.00963066934745537,0.00894946316865038,0.00992040942579506,0.00904790467690401,0.00868852777528621,0.00877445862092712,0.00902153776535794,0.00886122228613248,0.0128779938875638
1,0.8021925726085,1,1,1,1,1,1,0.74763095056689,0.79454586234168,0.638758581352546,0.919085881229467,1,1,1,0.236155104819417,1,1,0.989334296815807,0.0123710747710942,0.220599677801093,1,1,0.0350027100923932,0.767028524242505,0.567529152399546,1,0.0649495534309445,0.0133290907393445,0.0107419701676799,0.00989905517811234,0.00936566322212727,0.00916021163091671,0.00898684465387258,0.00830125014678672,0.00904807003602971,0.00907577316422999,0.00826327314840976,0.00842524632029456,0.00911380088920803,0.00872255828717269
0.615735502339335,1,0.151352664903516,1,1,0.855274684529858,1,1,0.367447360660785,0.751665116248941,0.632703593007272,1,1,1,1,0.848875971710737,1,0.388613958649174,1,0.869522450152811,0.804107677877096,1,0.118515368586612,0.238740381145707,0.0133487380535516,0.432240219678954,0.00948894506629194,0.145666695805371,1,0.00969594299101688,0.0103362523402287,0.00880871105835327,0.00917994120456203,0.00881637166712449,0.0085808512666989,0.00755712407484058,0.00942923290429034,0.00866975644422621,0.00839584117926999,0.00902043702928667,0.0083171804691786
0.900259102784232,0.375826635248462,1,1,1,1,1,1,0.881777184520574,1,1,1,1,1,1,0.647543118680887,0.590467781889751,0.704424743422876,0.139440776783529,1,0.849189525689425,1,1,0.109722771749846,1,0.94687614614889,0.123198183163524,0.787735312062753,0.00993368172775118,0.0090500225030984,0.00874584217856694,0.00953152483491437,0.00878246027441901,0.00886941990411757,0.00891333600618805,0.00907482769519818,0.00853799306611227,0.00863868010939779,0.00902132929401515,0.00909382943457651,0.00853940739333565
0.812864329130732,0.595874662113983,0.827943073460097,0.995834426844266,1,1,0.428598888238879,0.298606062918763,0.36558929563205,1,1,1,0.410485088141154,0.73810875205796,0.234583108685251,0.50289717798068,1,0.954149041765349,1,0.562380795547604,0.54818989292057,1,1,0.118650374742936,0.0579547733009318,0.0349606489236575,0.00941324308265887,0.00904549943293005,0.240732667116718,0.00925388125902798,0.0093737897322538,0.016181002027015,0.00784214738898351,0.0087142502447787,0.00878206814777312,0.00895698365838395,0.00887874434630911,0.00851597815303599,0.00878986891040461,0.00824057612867573,0.00865555912535292
